tweetID,text_score,text_score_expansion,hashtag,hasURL,isReply,length,tweet_topic_time_diff,semantic_overlap,#entityTypes,#entities,organization_entities,person_entities,work_entities,event_entities,species_entities,places_entities,nFollowers,nFriends,nFavorties,nListed,isVerified,isGeoEnabled,twitterAge,#tweetsPosted,relevanceJudge
36,-16,-16,0,1,0,119,1,0,2,6,0,0,1,0,0,2,934,1635,0,11,0,0,2.65032,7759,0
37,-16,-16,1,0,0,92,10,0,3,4,1,1,1,0,0,0,568,371,0,25,0,0,2.410073,50462,0
38,-16,-16,0,1,0,116,0,0,1,3,0,1,0,0,0,0,216,11,0,1,0,0,1.581752,13075,0
39,-16,-16,1,1,0,103,0,0,1,5,3,0,0,0,0,0,81,205,0,0,0,0,1.923585,305,0
40,-16,-16,0,1,0,45,0,0,2,3,1,2,0,0,0,0,45,42,0,0,0,1,2.342264,180,0
41,-12.6896,-11.8962,0,1,0,116,1,0,0,0,0,0,0,0,0,0,4698,3224,285,178,0,1,2.464238,105908,0
42,-9.75458,-9.93811,0,1,0,76,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.574466,31,0
43,-9.51264,-9.10715,0,1,0,50,15,0,0,0,0,0,0,0,0,0,127,12,0,3,0,0,1.462056,21443,0
44,-16,-16,0,1,0,58,16,0,0,0,0,0,0,0,0,0,4001,141,4,302,0,0,3.250688,2555,0
45,-16,-16,0,1,0,116,5,0,1,3,0,1,0,0,0,0,1519,1704,0,9,0,0,2.648437,10191,0
46,-8.42116,-8.15078,0,0,0,96,9,1,1,1,1,0,0,0,0,0,122,104,0,2,0,0,1.57726,2028,0
47,-16,-16,0,1,0,120,3,0,2,7,0,1,0,0,0,1,21343,168,1,1301,1,0,3.259448,10980,1
48,-16,-16,0,0,0,138,0,0,0,4,0,0,0,0,0,0,112,192,170,1,0,0,2.418373,1788,0
49,-9.34003,-8.35106,0,1,0,115,1,0,1,6,0,1,0,0,0,0,134,0,0,0,0,0,1.224669,45123,0
50,-16,-16,1,1,0,121,10,0,0,0,0,0,0,0,0,0,6653,6490,1,86,0,0,1.110018,7879,0
51,-16,-16,0,1,0,36,0,0,0,1,0,0,0,0,0,0,28013,28375,44,693,0,0,2.889905,16294,0
52,-16,-16,0,1,0,91,0,0,1,2,0,0,0,0,1,0,189,332,9,15,0,0,3.183186,14826,0
53,-9.46086,-8.4658,1,1,0,55,0,0,2,2,1,1,0,0,0,0,2531,48,0,115,0,0,2.218273,115591,0
54,-9.3555,-7.64801,0,1,0,36,8,0,0,3,0,0,0,0,0,0,914,1319,0,16,0,0,2.898156,1043,0
55,-9.53786,-9.77427,0,0,0,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-16,-9.6107,0,1,0,115,4,1,1,4,0,0,0,0,0,1,171,0,0,4,0,0,1.470958,63710,0
57,-16,-16,0,0,0,128,0,0,0,2,0,0,0,0,0,0,83,287,0,1,0,0,1.559099,1391,0
58,-16,-16,0,1,0,116,0,0,1,3,0,0,0,0,0,3,942,2,0,43,0,0,1.972741,78048,0
59,-16,-16,1,1,0,42,0,0,0,0,0,0,0,0,0,0,228,31,0,11,0,0,1.470099,7008,0
60,-16,-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,162,431,92,3,0,1,2.849237,4301,0
61,-16,-16,0,1,0,117,5,0,0,0,0,0,0,0,0,0,695,413,0,3,0,1,1.2109,25811,0
62,-16,-16,0,0,1,98,0,0,0,3,0,0,0,0,0,0,885,622,206,24,0,1,2.566218,20734,0
63,-16,-16,0,1,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-16,-16,0,1,0,116,3,0,0,0,0,0,0,0,0,0,65,119,0,0,0,0,1.828251,1764,0
65,-16,-16,0,0,0,131,15,0,0,0,0,0,0,0,0,0,1128,1698,1,18,0,0,1.858221,322902,0
66,-16,-16,0,1,0,74,15,0,3,4,2,1,1,0,0,0,2254,442,0,26,0,0,3.091742,84794,0
67,-16,-16,0,0,0,135,6,0,1,2,0,0,1,0,0,0,345,309,1,6,0,0,1.684465,9680,0
68,-9.00618,-7.38509,1,1,0,116,3,0,1,3,0,1,0,0,0,0,5382,5005,0,71,0,0,2.815491,8587,1
69,-16,-16,0,1,0,116,1,0,0,3,0,0,0,0,0,0,644,43,0,4,0,0,1.546795,17050,0
70,-5.91122,-4.74389,0,1,0,61,10,0,0,1,0,0,0,0,0,0,3278,181,0,182,0,0,2.90068,11390,0
71,-16,-16,0,1,0,116,15,0,1,4,1,0,0,0,0,0,543,0,0,1,0,0,2.347023,75483,0
72,-8.50673,-8.29448,0,1,0,47,1,1,1,1,0,1,0,0,0,0,214,468,16,46,0,0,1.242863,9370,0
73,-16,-16,0,0,0,18,1,0,0,0,0,0,0,0,0,0,165,181,4,0,0,1,1.710427,3111,0
74,-5.90969,-4.74274,0,0,0,18,8,0,1,1,0,1,0,0,0,0,159,116,3,1,0,0,2.451224,2945,0
75,-16,-16,0,0,0,50,0,0,3,3,1,1,1,0,0,0,808,440,4,6,0,0,2.877949,34796,0
76,-16,-16,1,0,0,139,0,0,0,3,0,0,0,0,0,0,479,115,6,14,0,0,3.489651,8996,0
77,-16,-16,0,0,0,140,9,0,2,3,1,0,1,0,0,0,605,401,155,52,0,0,5.059091,14340,0
78,-16,-16,1,0,0,139,0,0,1,2,0,0,0,0,1,0,128,304,0,2,0,1,1.111761,234,0
79,-10.1387,-9.98608,0,0,0,45,0,0,1,2,0,0,1,0,0,0,857,775,39,8,0,0,1.735854,7917,0
80,-16,-16,0,0,0,52,5,0,0,0,0,0,0,0,0,0,45,147,48,0,0,0,1.883442,755,0
81,-16,-16,0,0,0,19,6,0,0,0,0,0,0,0,0,0,174,73,119,1,0,0,1.850658,22333,0
82,-16,-16,0,1,0,87,2,0,0,4,0,0,0,0,0,0,901,748,0,2,0,0,1.452576,140875,0
83,-7.09321,-7.39262,0,1,0,116,5,0,1,1,0,0,1,0,0,0,50,4,0,4,0,0,1.696979,3163,0
84,-16,-16,0,0,0,29,0,0,0,0,0,0,0,0,0,0,388,229,102,20,0,1,2.031597,89937,0
85,-16,-16,0,0,0,34,3,0,0,0,0,0,0,0,0,0,302,366,1,22,0,0,1.532963,10893,0
86,-5.90732,-4.74097,0,1,0,123,8,0,0,1,0,0,0,0,0,0,1893,2011,23,44,0,0,2.947851,7727,0
87,-16,-16,0,0,0,84,0,0,1,1,0,0,0,0,2,0,3985,4063,0,29,0,0,1.363584,24156,0
88,-9.0036,-8.72071,0,1,0,116,16,0,2,6,3,0,0,0,0,1,965,1638,0,16,0,0,2.082465,29866,0
89,-9.3419,-9.16392,1,1,0,120,4,0,1,7,2,0,0,0,0,0,257,209,1,9,0,1,1.629102,1114,0
90,-16,-16,0,0,1,140,14,0,2,6,1,0,1,0,0,0,436,391,125,17,0,1,2.348821,11244,0
91,-16,-16,1,0,0,104,0,0,0,2,0,0,0,0,0,0,278,74,43,3,0,1,1.999786,601,0
92,-9.0328,-7.5802,0,1,0,92,6,0,0,0,0,0,0,0,0,0,1148,116,0,78,0,0,1.251047,129462,0
93,-10.3968,-9.87693,1,1,0,116,6,0,0,0,0,0,0,0,0,0,3132,3255,87,169,0,0,1.889467,14001,0
94,-16,-16,0,1,0,37,2,0,0,2,0,0,0,0,0,0,1214,261,1,60,0,0,3.809012,8769,0
95,-16,-16,1,0,0,132,8,0,0,4,0,0,0,0,0,0,62,49,47,2,0,0,3.256094,1307,0
96,-16,-16,0,1,0,113,1,0,0,0,0,0,0,0,0,0,1915,35,0,19,0,1,1.357568,157904,0
97,-7.8327,-16,1,0,0,40,6,0,0,1,0,0,0,0,0,0,16,213,6,0,0,1,1.589586,906,0
98,-16,-16,0,1,0,116,5,0,0,0,0,0,0,0,0,0,4910,2,0,102,0,0,1.980341,48743,0
99,-16,-16,0,1,0,116,1,0,0,3,0,0,0,0,0,0,617,486,0,0,0,0,1.126013,12200,0
100,-16,-16,0,1,0,115,3,0,2,4,1,0,0,0,0,1,809,774,1,8,0,0,1.154421,806,1
101,-10.3917,-10.6234,0,0,0,51,0,0,0,0,0,0,0,0,0,0,40,151,0,0,0,0,3.001381,982,0
102,-16,-16,1,1,0,31,5,0,1,1,1,0,0,0,0,0,300,377,9,44,0,0,2.427894,13725,0
103,-16,-16,0,0,0,26,3,0,0,0,0,0,0,0,0,0,304,254,80,2,0,0,1.608843,6543,0
104,-7.33939,-7.39605,0,0,1,60,10,1,1,1,0,1,0,0,0,0,18,19,0,0,0,0,1.086417,71,0
105,-16,-16,1,0,0,33,10,0,0,0,0,0,0,0,0,0,85,226,0,2,0,1,1.302751,804,0
106,-6.23259,-6.75641,0,0,1,76,9,0,1,2,1,0,0,0,0,0,17,46,22,0,0,0,3.100508,685,0
107,-16,-16,0,0,1,127,3,0,1,5,0,0,4,0,0,0,43,64,50,0,0,0,1.215564,360,0
108,-7.12093,-7.32332,0,0,0,72,1,0,2,5,0,1,2,0,0,0,799,0,0,9,0,0,1.326875,233205,0
109,-16,-16,0,0,0,22,0,0,0,0,0,0,0,0,0,0,400,315,0,9,0,0,2.596759,11598,0
110,-16,-16,1,1,0,75,8,0,1,3,0,0,0,0,0,1,426,463,0,4,0,0,1.754956,2664,1
111,-16,-16,0,0,1,22,0,0,0,0,0,0,0,0,0,0,108,115,12,0,0,0,1.109449,1823,0
112,-16,-16,0,1,0,79,2,0,1,4,0,0,1,0,0,0,164,213,0,4,0,0,2.911721,1847,0
113,-16,-16,0,1,0,111,0,0,1,1,0,1,0,0,0,0,76,4,0,0,0,0,1.725252,16023,0
114,-16,-16,0,1,0,74,1,0,0,0,0,0,0,0,0,0,948,1617,0,7,0,0,1.463893,36976,0
115,-7.76739,-7.7808,0,1,0,116,13,0,0,0,0,0,0,0,0,0,3036,3248,0,51,0,0,2.476147,79382,0
116,-9.18861,-9.59109,0,0,0,52,0,1,1,4,4,0,0,0,0,0,386,158,2,18,0,1,2.706444,5276,0
117,-16,-16,0,0,1,107,0,0,0,0,0,0,0,0,0,0,570,233,38,58,0,0,2.735503,32206,0
118,-16,-16,0,0,1,140,0,0,0,0,0,0,0,0,0,0,137,449,109,2,0,0,2.86273,8171,0
119,-7.7871,-7.99682,0,1,0,62,13,0,0,2,0,0,0,0,0,0,179,30,4,1,0,0,2.428304,15065,1
120,-10.6384,-10.2692,0,1,0,79,1,0,1,2,0,1,0,0,0,0,278,202,2,12,0,1,4.107535,756,0
121,-16,-16,0,1,0,76,6,0,0,1,0,0,0,0,0,0,3718,68,0,107,0,0,2.891117,6020,0
122,-16,-16,0,0,1,86,0,0,0,0,0,0,0,0,0,0,2245,1658,0,142,0,0,2.074726,10848,0
123,-8.65457,-8.66818,0,0,0,136,15,0,1,3,0,2,0,0,0,0,1230,1340,0,14,0,0,2.742575,73136,1
124,-16,-16,0,1,0,19,2,0,0,1,0,0,0,0,0,0,288,313,0,0,0,0,1.207622,103989,0
125,-16,-16,0,1,0,101,0,0,0,2,0,0,0,0,0,0,447,508,0,23,0,0,2.702902,958,0
126,-16,-16,0,1,0,74,1,0,0,0,0,0,0,0,0,0,6179,196,267,360,0,0,5.112871,100586,0
127,-10.4308,-8.62869,0,1,0,97,10,0,1,2,0,0,1,0,0,0,1420,1383,19,62,0,0,3.59891,60453,0
128,-16,-16,0,0,1,51,0,0,0,0,0,0,0,0,0,0,189,654,3,4,0,0,1.09812,214,0
129,-16,-16,0,0,1,83,4,0,0,0,0,0,0,0,0,0,1649,809,485,217,0,0,1.906056,16542,0
130,-16,-16,0,1,0,51,8,0,0,0,0,0,0,0,0,0,1154,1934,0,10,0,0,1.860288,11865,0
131,-16,-16,0,1,0,113,0,0,3,4,1,1,1,0,0,0,803,1269,0,16,0,0,1.596371,162531,0
132,-16,-16,0,0,0,139,7,0,0,2,0,0,0,0,0,0,1701,546,261,21,0,0,1.914323,34706,0
133,-16,-16,0,0,0,41,2,0,1,1,1,0,0,0,0,0,1324,929,2840,35,0,0,3.227892,68051,0
134,-6.0706,-6.48989,0,0,1,140,2,0,0,1,0,0,0,0,0,0,205,300,15,3,0,1,2.692915,4806,0
135,-16,-16,0,0,0,65,5,0,0,1,0,0,0,0,0,0,72,94,2,0,0,0,2.788293,661,0
136,-16,-16,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,-16,-16,0,1,0,33,7,0,0,0,0,0,0,0,0,0,2051,1,0,38,0,0,2.231099,209200,0
138,-16,-16,0,0,0,24,13,0,0,0,0,0,0,0,0,0,75,297,21,1,0,0,1.528441,1736,0
139,-16,-16,0,0,0,54,9,1,2,3,1,1,0,0,0,0,38,81,50,1,0,0,1.453841,1771,0
140,-16,-16,0,0,1,126,0,0,0,0,0,0,0,0,0,0,586,418,249,10,0,1,1.423142,66408,0
141,-16,-16,1,1,0,116,0,0,0,3,0,0,0,0,0,0,941,1155,2,22,0,0,1.210664,45286,0
142,-16,-16,0,0,0,45,1,0,0,0,0,0,0,0,0,0,497,368,208,34,0,0,2.927419,32438,0
143,NA,-7.69457,0,1,0,70,1,0,2,4,1,1,0,0,0,0,28,108,9,0,0,1,1.185046,287,0
144,-16,-16,1,0,0,110,3,0,0,2,0,0,0,0,0,0,1921,1829,24,84,0,1,2.807993,13301,0
145,-16,-16,0,1,0,110,9,0,1,1,0,0,0,0,0,1,1889,1951,0,24,0,0,2.230222,55169,1
146,-16,-16,0,1,0,116,5,0,0,1,0,0,0,0,0,0,385,536,0,5,0,1,1.393872,3731,0
147,-16,-16,1,0,0,138,12,0,1,2,0,0,2,0,0,0,38,21,0,4,0,0,2.638883,319,0
148,-16,-16,1,0,1,131,0,0,0,0,0,0,0,0,0,0,4187,232,9,75,0,0,1.251405,4297,0
149,-16,-16,0,1,0,115,1,0,1,2,0,2,0,0,0,0,1388,173,7,97,0,0,2.566446,191908,0
150,-10.7817,-10.5997,1,1,0,98,2,0,1,1,0,1,0,0,0,0,11447,4485,0,485,0,0,2.463401,258114,0
151,-16,-16,0,1,0,85,2,0,0,0,0,0,0,0,0,0,290,295,0,3,0,0,1.448749,19715,0
152,-16,-16,0,1,0,116,10,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
153,-5.90093,-4.73617,1,0,0,128,8,0,0,0,0,0,0,0,0,0,175,357,7,6,0,0,2.073083,1047,0
154,-16,-16,0,1,0,99,5,0,0,1,0,0,0,0,0,0,2521,2663,14,201,0,1,4.077757,29362,0
155,-16,-16,1,0,0,120,0,0,2,4,0,1,1,0,0,0,326,230,46,1,0,0,2.510076,20002,0
156,-10.6555,-16,0,1,1,70,0,0,0,1,0,0,0,0,0,0,269,107,9,16,0,0,1.750331,1493,0
157,-16,-16,0,1,0,118,0,0,1,3,0,0,1,0,0,0,552,0,0,1,0,0,1.225744,7930,0
158,-16,-16,0,1,0,116,0,0,0,5,0,0,0,0,0,0,673,1900,0,21,0,0,1.855433,4046,0
159,-7.9782,-6.73359,0,1,0,70,12,1,0,2,0,0,0,0,0,0,724,263,254,44,0,0,4.472971,7735,0
160,-16,-16,0,1,0,94,14,0,1,1,0,1,0,0,0,0,7,31,0,0,0,1,2.344638,7,1
161,-16,-16,0,1,0,113,2,0,1,2,0,0,1,0,0,0,7611,3063,0,484,0,0,2.797149,87771,0
162,-16,-16,0,0,1,127,0,0,0,0,0,0,0,0,0,0,376,382,28,1,0,0,2.121636,4988,0
163,-16,-16,0,0,0,133,1,0,0,0,0,0,0,0,0,0,414,267,1,0,0,0,2.676425,8341,0
164,-16,-16,0,1,0,73,0,0,0,1,0,0,0,0,0,0,113,326,0,2,0,0,1.320345,160,0
165,-16,-9.33865,0,1,0,104,3,1,2,4,0,1,0,0,0,1,1454,1847,21,72,0,0,3.608095,12125,0
166,-11.407,-10.4202,0,1,0,110,15,0,2,4,0,2,2,0,0,0,1342,1996,1,3,0,1,1.39591,1724,0
167,-16,-16,0,0,0,134,1,0,1,3,0,0,1,0,0,0,272,132,0,147,0,1,2.02408,79050,0
168,-16,-16,0,0,1,73,0,0,1,1,0,0,0,0,1,0,53696,53405,373,574,0,0,2.930435,83055,0
169,-16,-16,0,1,0,114,15,0,1,2,2,0,0,0,0,0,194,512,381,7,0,1,2.798109,7013,0
170,-16,-16,1,0,1,60,0,0,0,0,0,0,0,0,0,0,160,174,1,8,0,1,1.63442,2432,0
171,-16,-16,1,1,0,116,0,0,1,3,1,0,0,0,0,0,1221,10,1,37,0,1,1.934222,85412,0
172,-16,-16,0,0,1,135,0,0,2,6,1,1,0,0,0,0,5037,4038,223,820,0,1,2.243811,57137,0
173,-16,-16,1,0,0,40,9,0,0,0,0,0,0,0,0,0,68,67,0,5,0,0,2.146378,116,0
174,-16,-16,0,1,0,116,15,0,0,2,0,0,0,0,0,0,118,160,0,0,0,0,3.23878,10394,0
175,-9.61953,-8.01656,0,1,0,89,3,0,1,2,0,1,0,0,0,0,111619,202,1,676,0,0,2.880384,4355,0
176,-16,-16,0,0,0,6,3,0,0,0,0,0,0,0,0,0,327,280,0,1,0,0,1.418169,10437,0
177,-16,-16,0,1,0,76,0,0,1,2,0,2,0,0,0,0,134,250,4,12,0,0,2.171302,4054,0
178,-7.35257,-7.48874,0,1,1,62,12,0,1,2,1,0,0,0,0,0,910,13,0,1,0,0,1.552019,809,0
179,-16,-16,0,0,0,121,0,0,0,2,0,0,0,0,0,0,92,95,2,8,0,0,2.961408,230,0
180,-16,-16,0,0,0,39,0,0,0,0,0,0,0,0,0,0,934,293,82,58,0,0,2.071349,11927,0
181,-16,-16,0,0,0,42,9,0,0,0,0,0,0,0,0,0,120,113,0,1,0,0,1.976277,2780,0
182,-16,-16,0,0,0,46,14,0,1,1,0,0,1,0,0,0,745,221,25,28,0,0,2.555768,42536,0
183,-16,-16,0,0,0,45,9,0,0,0,0,0,0,0,0,0,1565,1657,0,4,0,1,1.111651,10753,0
184,-16,-16,0,0,0,135,10,0,0,2,0,0,0,0,0,0,474,334,7,42,0,1,4.979448,29842,0
185,-16,-16,0,1,0,116,0,0,0,1,0,0,0,0,0,0,510,1221,2,9,0,0,3.717333,590,0
186,-16,-16,0,0,0,124,4,0,2,4,0,2,1,0,0,0,341,579,15,11,0,1,2.651125,6741,0
187,-16,-10.0617,1,0,0,105,0,0,0,0,0,0,0,0,0,0,221,233,6,0,0,0,1.683017,11260,0
188,-9.09215,-8.85858,0,1,0,116,12,0,0,1,0,0,0,0,0,0,161,1,0,0,0,0,1.616349,24598,0
189,-16,-16,0,0,0,131,0,0,0,0,0,0,0,0,0,0,826,595,22,3,0,1,2.427667,37846,0
190,-16,-16,0,0,0,117,8,0,0,0,0,0,0,0,0,0,290,136,66,8,0,1,3.541615,7504,0
191,-16,-16,0,0,0,114,0,0,2,7,0,2,2,0,0,0,62,43,0,2,0,1,2.038422,1747,0
192,-16,-16,1,1,0,119,0,0,1,6,0,0,1,0,0,0,7661,7882,1,72,0,0,1.09611,5452,0
193,-16,-16,0,1,0,116,7,0,0,5,0,0,0,0,0,0,359,1,0,6,0,0,1.5753,88387,0
194,-16,-16,0,0,0,107,7,0,2,4,1,1,0,0,0,0,204,389,9,0,0,1,2.004442,5159,0
195,-16,-16,0,0,0,64,4,0,0,0,0,0,0,0,0,0,337,713,0,0,0,1,1.979954,144,0
196,-16,-16,0,1,0,76,1,0,1,3,0,0,1,0,0,0,484,10,2,24,0,0,2.801259,39260,0
197,-16,-16,0,1,0,109,5,0,0,3,0,0,0,0,0,0,507,767,0,33,0,1,2.96273,5368,0
198,-16,-16,0,0,0,27,0,0,1,2,0,0,1,0,0,0,577,563,7,0,0,1,2.859155,14977,0
199,-8.42493,-8.44397,0,1,0,46,0,0,2,2,1,0,1,0,0,0,4354,469,3,239,0,1,2.741819,31998,1
200,-7.70532,-8.01063,0,1,0,80,9,1,0,2,0,0,0,0,0,0,148,15,0,23,0,0,3.242824,1618,0
201,-6.22427,-6.73476,0,0,0,133,5,0,1,1,1,0,0,0,0,0,268,618,45,3,0,0,1.770375,9434,0
202,-9.15973,-7.50052,1,1,0,87,2,0,1,2,0,1,0,0,0,0,219,9,0,0,0,0,1.106949,65449,1
203,-16,-16,0,1,0,119,4,0,0,0,0,0,0,0,0,0,360,267,11,1,0,1,1.948744,18359,0
204,-16,-16,0,0,1,138,0,0,2,2,1,0,0,0,0,1,600,771,58,29,0,1,2.404493,9834,0
205,-16,-16,1,0,0,53,5,0,1,1,0,0,1,0,0,0,1644,527,71,56,0,0,2.944608,36462,0
206,-16,-16,0,1,0,116,0,0,0,1,0,0,0,0,0,0,4209,113,0,22,0,0,2.922405,186499,0
207,-16,-16,0,0,0,67,0,0,0,0,0,0,0,0,0,0,240,258,14,1,0,0,1.919286,11384,0
208,-16,-16,0,0,1,76,4,0,0,1,0,0,0,0,0,0,737,339,8,18,0,0,2.843228,3023,0
209,-11.0256,-10.0892,0,1,0,82,7,1,2,2,1,1,0,0,0,0,91,78,0,2,0,0,2.99594,413,0
210,-10.6705,-10.2031,0,0,1,65,8,0,0,0,0,0,0,0,0,0,2059,1896,318,240,0,0,2.046659,40905,0
211,-16,-10.0165,0,1,0,106,11,0,2,6,1,0,1,0,0,0,8034,8067,0,25,0,0,1.398633,12620,0
212,-9.0316,-7.57931,0,1,0,66,5,0,3,5,1,0,1,0,0,1,382,175,0,9,0,0,2.527158,2448,1
213,-8.84575,-8.99641,1,1,0,68,1,0,0,1,0,0,0,0,0,0,20745,20560,15,532,0,1,3.061871,14607,0
214,-8.30807,-7.03665,1,0,0,137,0,0,2,5,0,2,0,0,0,1,2228,1240,623,169,0,0,3.735945,36527,1
215,-7.35058,-7.48675,0,1,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,-7.83753,-6.68467,0,1,0,116,13,1,1,4,2,0,0,0,0,0,1935,1910,1,15,0,1,1.779353,34538,1
217,-16,-16,0,0,0,98,1,0,1,5,0,0,2,0,0,0,157,100,692,1,0,0,1.815792,12303,0
218,-16,-16,0,0,0,22,5,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,2.164253,1645,0
219,-16,-16,0,0,0,59,0,0,0,1,0,0,0,0,0,0,55,62,0,0,0,0,1.123067,422,0
220,-16,-16,1,0,0,128,9,0,0,4,0,0,0,0,0,0,143,75,26,5,0,0,3.845934,1404,0
221,-16,-16,1,1,0,57,0,0,0,2,0,0,0,0,0,0,947,0,0,0,0,0,1.206196,91767,0
222,-16,-16,0,1,0,52,0,0,1,2,0,0,0,0,0,1,32742,1267,184,2145,0,0,4.138596,97048,0
223,-16,-16,0,0,1,117,8,0,1,5,0,0,1,0,0,0,1126,1395,3,62,0,1,1.706287,12355,0
224,-16,-16,0,1,0,56,0,0,1,2,1,0,0,0,0,0,250,1102,2,5,0,1,2.440537,503,0
225,-9.34094,-8.97917,1,1,1,81,3,0,0,1,0,0,0,0,0,0,65,331,94,0,0,0,1.648602,924,0
226,-8.58763,-8.72349,1,0,1,137,0,0,0,1,0,0,0,0,0,0,1307,875,2,24,0,0,1.25416,30139,0
227,-16,-16,0,0,1,114,6,0,0,2,0,0,0,0,0,0,362,274,18,3,0,0,2.834013,542,0
228,-16,-16,0,1,0,94,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
